"Deliverable 
(Streamtime: Item Name)","Description
(Streamtime: Description)",Resource, Dept Rate,Effort / Quantity,Cost Rate ,Total Cost ,Sell Rate,Total Sell ,Deliverable Price ,Internal Notes
[Essential] SEO: Audit & Planning (<$60K budget),"- Full SEO Audit Content, Technical, and Domain Authority (up to 1 domains or 1 countries)
- SEO Strategy plan, priorities, and timeline",Marketer,Marketing,25, $ 140 ," $ 3,500 ", $ 170 ," $ 4,250.00 "," $ 5,090.00 ",
[Essential] SEO: Audit & Planning (<$60K budget),"- Full SEO Audit Content, Technical, and Domain Authority (up to 1 domains or 1 countries)
- SEO Strategy plan, priorities, and timeline",Marketing Director,Marketing Direction,2, $ 240 , $ 480 , $ 240 , $ 480.00 ,,
[Essential] SEO: Audit & Planning (<$60K budget),"- Full SEO Audit Content, Technical, and Domain Authority (up to 1 domains or 1 countries)
- SEO Strategy plan, priorities, and timeline",Project Manager,Project Management,2, $ 131 , $ 262 , $ 180 , $ 360.00 ,,
[Essential] SEO: Audit & Planning (<$60K budget),"- Full SEO Audit Content, Technical, and Domain Authority (up to 1 domains or 1 countries)
- SEO Strategy plan, priorities, and timeline",Account Manager,Account Management,0, $ 170 , $ -   , $ 180 , $ -   ,,
Add-on SEO item: Initial Setups for a New Website (>50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Marketer,Marketing,6, $ 140 , $ 840 , $ 170 ," $ 1,020.00 "," $ 5,020.00 ",
Add-on SEO item: Initial Setups for a New Website (>50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Marketing Director,Marketing Direction,2, $ 240 , $ 480 , $ 240 , $ 480.00 ,,
Add-on SEO item: Initial Setups for a New Website (>50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Tech Lead,Technical Consultancy & Solutioning,2, $ 172 , $ 344 , $ 200 , $ 400.00 ,,
Add-on SEO item: Initial Setups for a New Website (>50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Developer,Tech,16, $ 144 ," $ 2,304 ", $ 150 ," $ 2,400.00 ",,
Add-on SEO item: Initial Setups for a New Website (>50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Project Manager,Project Management,4, $ 131 , $ 524 , $ 180 , $ 720.00 ,,
Add-on SEO item: Initial Setups for a New Website (<50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Marketer,Marketing,2, $ 140 , $ 280 , $ 170 , $ 340.00 ," $ 2,200.00 ",
Add-on SEO item: Initial Setups for a New Website (<50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Marketing Director,Marketing Direction,0, $ 240 , $ -   , $ 240 , $ -   ,,
Add-on SEO item: Initial Setups for a New Website (<50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Tech Lead,Technical Consultancy & Solutioning,0, $ 172 , $ -   , $ 200 , $ -   ,,
Add-on SEO item: Initial Setups for a New Website (<50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Developer,Tech,10, $ 144 ," $ 1,440 ", $ 150 ," $ 1,500.00 ",,
Add-on SEO item: Initial Setups for a New Website (<50 pages),"- SEO Checklist for Developers
- SEO additional developments
- SEO Testing & QA
- Setup of Google Search Console",Project Manager,Project Management,2, $ 131 , $ 262 , $ 180 , $ 360.00 ,,
[Custom] SEO: Hygiene package (>$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing
- This package includes 40 hours of Developers, an SEO specialist, and a Project Manager to implement, test, and release the necessary technical fixes in order of priority for the business
- Metadata proposal, optimisation and implementation including Title, Description, H1, and Keyword insertion for 50 pages
- Schema Markups Package: Implementation of up to 10 schema markup types across the site",Marketer,Marketing,24, $ 140 ," $ 3,360 ", $ 170 ," $ 4,080.00 "," $ 19,330.00 ",
[Custom] SEO: Hygiene package (>$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing
- This package includes 40 hours of Developers, an SEO specialist, and a Project Manager to implement, test, and release the necessary technical fixes in order of priority for the business
- Metadata proposal, optimisation and implementation including Title, Description, H1, and Keyword insertion for 50 pages
- Schema Markups Package: Implementation of up to 10 schema markup types across the site",Marketing Director,Marketing Direction,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
[Custom] SEO: Hygiene package (>$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing
- This package includes 40 hours of Developers, an SEO specialist, and a Project Manager to implement, test, and release the necessary technical fixes in order of priority for the business
- Metadata proposal, optimisation and implementation including Title, Description, H1, and Keyword insertion for 50 pages
- Schema Markups Package: Implementation of up to 10 schema markup types across the site",Content Strategist,Strategy,2, $ 133 , $ 266 , $ 180 , $ 360.00 ,,
[Custom] SEO: Hygiene package (>$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing
- This package includes 40 hours of Developers, an SEO specialist, and a Project Manager to implement, test, and release the necessary technical fixes in order of priority for the business
- Metadata proposal, optimisation and implementation including Title, Description, H1, and Keyword insertion for 50 pages
- Schema Markups Package: Implementation of up to 10 schema markup types across the site",Copywriter,Content,25, $ 147 ," $ 3,675 ", $ 170 ," $ 4,250.00 ",,
[Custom] SEO: Hygiene package (>$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing
- This package includes 40 hours of Developers, an SEO specialist, and a Project Manager to implement, test, and release the necessary technical fixes in order of priority for the business
- Metadata proposal, optimisation and implementation including Title, Description, H1, and Keyword insertion for 50 pages
- Schema Markups Package: Implementation of up to 10 schema markup types across the site",Developer,Tech,40, $ 144 ," $ 5,760 ", $ 150 ," $ 6,000.00 ",,
[Custom] SEO: Hygiene package (>$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing
- This package includes 40 hours of Developers, an SEO specialist, and a Project Manager to implement, test, and release the necessary technical fixes in order of priority for the business
- Metadata proposal, optimisation and implementation including Title, Description, H1, and Keyword insertion for 50 pages
- Schema Markups Package: Implementation of up to 10 schema markup types across the site",Tech Lead,Technical Consultancy & Solutioning,4, $ 172 , $ 688 , $ 200 , $ 800.00 ,,
[Custom] SEO: Hygiene package (>$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing
- This package includes 40 hours of Developers, an SEO specialist, and a Project Manager to implement, test, and release the necessary technical fixes in order of priority for the business
- Metadata proposal, optimisation and implementation including Title, Description, H1, and Keyword insertion for 50 pages
- Schema Markups Package: Implementation of up to 10 schema markup types across the site",Project Manager,Project Management,16, $ 131 ," $ 2,096 ", $ 180 ," $ 2,880.00 ",,
[Essential] SEO: Hygiene package (<$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing",Marketer,Marketing,24, $ 140 ," $ 3,360 ", $ 170 ," $ 4,080.00 "," $ 5,400.00 ",
[Essential] SEO: Hygiene package (<$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing",Marketing Director,Marketing Direction,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
[Essential] SEO: Hygiene package (<$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing",Content Strategist,Strategy,0, $ 133 , $ -   , $ 180 , $ -   ,,
[Essential] SEO: Hygiene package (<$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing",Copywriter,Content,0, $ 147 , $ -   , $ 170 , $ -   ,,
[Essential] SEO: Hygiene package (<$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing",Developer,Tech,0, $ 144 , $ -   , $ 150 , $ -   ,,
[Essential] SEO: Hygiene package (<$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing",Tech Lead,Technical Consultancy & Solutioning,0, $ 172 , $ -   , $ 200 , $ -   ,,
[Essential] SEO: Hygiene package (<$60K budget),"- Provision of a list of content and technical issues, recommendations, and fixes
- Provision of a list of toxic referring domains that we recommend disavowing",Project Manager,Project Management,2, $ 131 , $ 262 , $ 180 , $ 360.00 ,,
[Custom] SEO: Content Strategy package (>$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords
- Provision of a list of Content ideas and a Content Calendar
- New content package: 2x Content Pillar Page (1,200-1,500 words) linking to 10 Short Articles (600-800 words)",Marketer,Marketing,24, $ 140 ," $ 3,360 ", $ 170 ," $ 4,080.00 "," $ 29,400.00 ",
[Custom] SEO: Content Strategy package (>$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords
- Provision of a list of Content ideas and a Content Calendar
- New content package: 2x Content Pillar Page (1,200-1,500 words) linking to 10 Short Articles (600-800 words)",Marketing Director,Marketing Direction,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
[Custom] SEO: Content Strategy package (>$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords
- Provision of a list of Content ideas and a Content Calendar
- New content package: 2x Content Pillar Page (1,200-1,500 words) linking to 10 Short Articles (600-800 words)",Content Strategist,Strategy,6, $ 133 , $ 798 , $ 180 ," $ 1,080.00 ",,
[Custom] SEO: Content Strategy package (>$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords
- Provision of a list of Content ideas and a Content Calendar
- New content package: 2x Content Pillar Page (1,200-1,500 words) linking to 10 Short Articles (600-800 words)",Copywriter,Content,120, $ 147 ," $ 17,640 ", $ 170 ," $ 20,400.00 ",,
[Custom] SEO: Content Strategy package (>$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords
- Provision of a list of Content ideas and a Content Calendar
- New content package: 2x Content Pillar Page (1,200-1,500 words) linking to 10 Short Articles (600-800 words)",Developer,Tech,0, $ 144 , $ -   , $ 150 , $ -   ,,
[Custom] SEO: Content Strategy package (>$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords
- Provision of a list of Content ideas and a Content Calendar
- New content package: 2x Content Pillar Page (1,200-1,500 words) linking to 10 Short Articles (600-800 words)",Tech Lead,Technical Consultancy & Solutioning,0, $ 172 , $ -   , $ 200 , $ -   ,,
[Custom] SEO: Content Strategy package (>$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords
- Provision of a list of Content ideas and a Content Calendar
- New content package: 2x Content Pillar Page (1,200-1,500 words) linking to 10 Short Articles (600-800 words)",Project Manager,Project Management,16, $ 131 ," $ 2,096 ", $ 180 ," $ 2,880.00 ",,
[Essential] SEO: Content Strategy package (<$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords (up to 5 topics and 50 keywords)
- Provision of a list of Content ideas and a Content Calendar (up to 50 content ideas)",Marketer,Marketing,36, $ 140 ," $ 5,040 ", $ 170 ," $ 6,120.00 "," $ 7,800.00 ",
[Essential] SEO: Content Strategy package (<$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords (up to 5 topics and 50 keywords)
- Provision of a list of Content ideas and a Content Calendar (up to 50 content ideas)",Marketing Director,Marketing Direction,4, $ 240 , $ 960 , $ 240 , $ 960.00 ,,
[Essential] SEO: Content Strategy package (<$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords (up to 5 topics and 50 keywords)
- Provision of a list of Content ideas and a Content Calendar (up to 50 content ideas)",Content Strategist,Strategy,0, $ 133 , $ -   , $ 180 , $ -   ,,
[Essential] SEO: Content Strategy package (<$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords (up to 5 topics and 50 keywords)
- Provision of a list of Content ideas and a Content Calendar (up to 50 content ideas)",Copywriter,Content,0, $ 147 , $ -   , $ 170 , $ -   ,,
[Essential] SEO: Content Strategy package (<$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords (up to 5 topics and 50 keywords)
- Provision of a list of Content ideas and a Content Calendar (up to 50 content ideas)",Developer,Tech,0, $ 144 , $ -   , $ 150 , $ -   ,,
[Essential] SEO: Content Strategy package (<$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords (up to 5 topics and 50 keywords)
- Provision of a list of Content ideas and a Content Calendar (up to 50 content ideas)",Tech Lead,Technical Consultancy & Solutioning,0, $ 172 , $ -   , $ 200 , $ -   ,,
[Essential] SEO: Content Strategy package (<$60K budget),"- Provision of a detailed explanation of the recommended Content tactics
- Conduct topic and keyword research to identify high-search-volume and trending topics and keywords (up to 5 topics and 50 keywords)
- Provision of a list of Content ideas and a Content Calendar (up to 50 content ideas)",Project Manager,Project Management,4, $ 131 , $ 524 , $ 180 , $ 720.00 ,,
[Custom] SEO: Backlinks Strategy package (>$60K budget),"- Provision of a Backlinks Strategy with a specific list of recommendations and tactics
- Provision of 1x Wikipedia article and optimisations in Google My Business
- Acquisition of 24 backlinks, and creation of 24 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Marketer,Marketing,24, $ 140 ," $ 3,360 ", $ 170 ," $ 4,080.00 "," $ 22,280.00 ",
[Custom] SEO: Backlinks Strategy package (>$60K budget),"- Provision of a Backlinks Strategy with a specific list of recommendations and tactics
- Provision of 1x Wikipedia article and optimisations in Google My Business
- Acquisition of 24 backlinks, and creation of 24 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Marketing Director,Marketing Direction,6, $ 240 ," $ 1,440 ", $ 240 ," $ 1,440.00 ",,
[Custom] SEO: Backlinks Strategy package (>$60K budget),"- Provision of a Backlinks Strategy with a specific list of recommendations and tactics
- Provision of 1x Wikipedia article and optimisations in Google My Business
- Acquisition of 24 backlinks, and creation of 24 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",[Expense],Backlinks Pack C,2," $ 2,800 "," $ 5,600 "," $ 5,600 "," $ 11,200.00 ",,
[Custom] SEO: Backlinks Strategy package (>$60K budget),"- Provision of a Backlinks Strategy with a specific list of recommendations and tactics
- Provision of 1x Wikipedia article and optimisations in Google My Business
- Acquisition of 24 backlinks, and creation of 24 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Content Strategist,Strategy,4, $ 133 , $ 532 , $ 180 , $ 720.00 ,,
[Custom] SEO: Backlinks Strategy package (>$60K budget),"- Provision of a Backlinks Strategy with a specific list of recommendations and tactics
- Provision of 1x Wikipedia article and optimisations in Google My Business
- Acquisition of 24 backlinks, and creation of 24 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Copywriter,Content,20, $ 147 ," $ 2,940 ", $ 170 ," $ 3,400.00 ",,
[Custom] SEO: Backlinks Strategy package (>$60K budget),"- Provision of a Backlinks Strategy with a specific list of recommendations and tactics
- Provision of 1x Wikipedia article and optimisations in Google My Business
- Acquisition of 24 backlinks, and creation of 24 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Project Manager,Project Management,8, $ 131 ," $ 1,048 ", $ 180 ," $ 1,440.00 ",,
[Essential] SEO: Backlinks Strategy package (<$60K budget),"- Provision of a list of backlink recommendations
- Acquisition of 6 backlinks, and creation of 6 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Marketer,Marketing,6, $ 140 , $ 840 , $ 170 ," $ 1,020.00 "," $ 4,420.00 ",
[Essential] SEO: Backlinks Strategy package (<$60K budget),"- Provision of a list of backlink recommendations
- Acquisition of 6 backlinks, and creation of 6 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Marketing Director,Marketing Direction,1, $ 240 , $ 240 , $ 240 , $ 240.00 ,,
[Essential] SEO: Backlinks Strategy package (<$60K budget),"- Provision of a list of backlink recommendations
- Acquisition of 6 backlinks, and creation of 6 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",[Expense],Backlinks Pack B,1," $ 1,400 "," $ 1,400 "," $ 2,800 "," $ 2,800.00 ",,
[Essential] SEO: Backlinks Strategy package (<$60K budget),"- Provision of a list of backlink recommendations
- Acquisition of 6 backlinks, and creation of 6 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Content Strategist,Strategy,0, $ 133 , $ -   , $ 180 , $ -   ,,
[Essential] SEO: Backlinks Strategy package (<$60K budget),"- Provision of a list of backlink recommendations
- Acquisition of 6 backlinks, and creation of 6 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Copywriter,Content,0, $ 147 , $ -   , $ 170 , $ -   ,,
[Essential] SEO: Backlinks Strategy package (<$60K budget),"- Provision of a list of backlink recommendations
- Acquisition of 6 backlinks, and creation of 6 Guest Posts in high-traffic and niche-relevant Domains (DR 20-65)",Project Manager,Project Management,2, $ 131 , $ 262 , $ 180 , $ 360.00 ,,
[Custom] SEO: Monthly Reporting (>$60K budget),"- Monitoring through Google Analytics 4 for Traffic Acquisition, Audiences, and Behaviour
- Monitoring through Google Search Console for Organic impressions, CTR, & Position Ranking
- Monitoring through SEMrush for Position Tracking and Domain Authority Score
- Reporting of the data, analysis, and recommendations within the Looker Studio Dashboard
- Minor customisations on the report based on client requirements",Marketing Director,Marketing Direction,1, $ 240 , $ 240 , $ 240 , $ 240.00 ," $ 2,980.00 ",
[Custom] SEO: Monthly Reporting (>$60K budget),"- Monitoring through Google Analytics 4 for Traffic Acquisition, Audiences, and Behaviour
- Monitoring through Google Search Console for Organic impressions, CTR, & Position Ranking
- Monitoring through SEMrush for Position Tracking and Domain Authority Score
- Reporting of the data, analysis, and recommendations within the Looker Studio Dashboard
- Minor customisations on the report based on client requirements",Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
[Custom] SEO: Monthly Reporting (>$60K budget),"- Monitoring through Google Analytics 4 for Traffic Acquisition, Audiences, and Behaviour
- Monitoring through Google Search Console for Organic impressions, CTR, & Position Ranking
- Monitoring through SEMrush for Position Tracking and Domain Authority Score
- Reporting of the data, analysis, and recommendations within the Looker Studio Dashboard
- Minor customisations on the report based on client requirements",Marketer,Marketing,14, $ 140 ," $ 1,960 ", $ 170 ," $ 2,380.00 ",,
[Essential] SEO: Monthly Reporting (<$60K budget),"- Monitoring through Google Analytics 4 for Traffic Acquisition, Audiences, and Behaviour
- Monitoring through Google Search Console for Organic impressions, CTR, & Position Ranking
- Monitoring through SEMrush for Position Tracking and Domain Authority Score
- Reporting of the data, analysis, and recommendations within the Looker Studio Dashboard",Marketing Director,Marketing Direction,0, $ 240 , $ -   , $ 240 , $ -   ," $ 1,720.00 ",
[Essential] SEO: Monthly Reporting (<$60K budget),"- Monitoring through Google Analytics 4 for Traffic Acquisition, Audiences, and Behaviour
- Monitoring through Google Search Console for Organic impressions, CTR, & Position Ranking
- Monitoring through SEMrush for Position Tracking and Domain Authority Score
- Reporting of the data, analysis, and recommendations within the Looker Studio Dashboard",Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
[Essential] SEO: Monthly Reporting (<$60K budget),"- Monitoring through Google Analytics 4 for Traffic Acquisition, Audiences, and Behaviour
- Monitoring through Google Search Console for Organic impressions, CTR, & Position Ranking
- Monitoring through SEMrush for Position Tracking and Domain Authority Score
- Reporting of the data, analysis, and recommendations within the Looker Studio Dashboard",Marketer,Marketing,8, $ 140 ," $ 1,120 ", $ 170 ," $ 1,360.00 ",,
Add-on SEO item: Content Migration from previous site,"Package of content optimisations for 50 pages including Title, Description, H1, and Keyword insertion",Marketer,Marketing,6, $ 140 , $ 840 , $ 170 ," $ 1,020.00 "," $ 10,740.00 ",
Add-on SEO item: Content Migration from previous site,"Package of content optimisations for 50 pages including Title, Description, H1, and Keyword insertion",Marketing Director,Marketing Direction,0, $ 240 , $ -   , $ 240 , $ -   ,,
Add-on SEO item: Content Migration from previous site,"Package of content optimisations for 50 pages including Title, Description, H1, and Keyword insertion",Copywriter,Content,36, $ 147 ," $ 5,292 ", $ 170 ," $ 6,120.00 ",,
Add-on SEO item: Content Migration from previous site,"Package of content optimisations for 50 pages including Title, Description, H1, and Keyword insertion",Developer,Tech,0, $ 144 , $ -   , $ 150 , $ -   ,,
Add-on SEO item: Content Migration from previous site,"Package of content optimisations for 50 pages including Title, Description, H1, and Keyword insertion",Project Manager,Project Management,20, $ 131 ," $ 2,620 ", $ 180 ," $ 3,600.00 ",,
Add-on Campaign item: Media Plan,"- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
- Client to provide: Personas, Key Value Proposition, Key Visuals",Marketing Director,Marketing Direction,2, $ 240 , $ 480 , $ 240 , $ 480.00 ," $ 3,220.00 ",
Add-on Campaign item: Media Plan,"- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
- Client to provide: Personas, Key Value Proposition, Key Visuals",Marketer,Marketing,14, $ 140 ," $ 1,960 ", $ 170 ," $ 2,380.00 ",,
Add-on Campaign item: Media Plan,"- Channels Rationale, Media Tactics, Campaign Flow, Media Plan (Up to 3 channels, 3 countries)
- Client to provide: Personas, Key Value Proposition, Key Visuals",Account Manager,Account Management,2, $ 170 , $ 340 , $ 180 , $ 360.00 ,,
[Essential] Campaign asset: Image Ads,Copywriting and creative for 2x ads (1 master and 1 adapt),Marketer,Marketing,4, $ 140 , $ 560 , $ 170 , $ 680.00 , $ 905.00 ,
[Essential] Campaign asset: Image Ads,Copywriting and creative for 2x ads (1 master and 1 adapt),[Expense],Shutterstock (per image),1, $ 50 , $ 50 , $ 50 , $ 50.00 ,,
[Essential] Campaign asset: Image Ads,Copywriting and creative for 2x ads (1 master and 1 adapt),Project Manager,Project Management,0.5, $ 131 , $ 66 , $ 180 , $ 90.00 ,,
[Essential] Campaign asset: Image Ads,Copywriting and creative for 2x ads (1 master and 1 adapt),Designer,Creative,0.5, $ 122 , $ 61 , $ 170 , $ 85.00 ,,
[Essential] Campaign asset: Video Ads,"Copywriting and video for 2x ads (1 master and 1 adapt, up to <15 sec, without shoot, based on stock images/videos)",Marketer,Marketing,7, $ 140 , $ 980 , $ 170 ," $ 1,190.00 "," $ 1,415.00 ",
[Essential] Campaign asset: Video Ads,"Copywriting and video for 2x ads (1 master and 1 adapt, up to <15 sec, without shoot, based on stock images/videos)",[Expense],Shutterstock (per image),1, $ 50 , $ 50 , $ 50 , $ 50.00 ,,
[Essential] Campaign asset: Video Ads,"Copywriting and video for 2x ads (1 master and 1 adapt, up to <15 sec, without shoot, based on stock images/videos)",Project Manager,Project Management,0.5, $ 131 , $ 66 , $ 180 , $ 90.00 ,,
[Essential] Campaign asset: Video Ads,"Copywriting and video for 2x ads (1 master and 1 adapt, up to <15 sec, without shoot, based on stock images/videos)",Designer,Creative,0.5, $ 122 , $ 61 , $ 170 , $ 85.00 ,,
[Essential] Campaign asset: GIF Ads,"Copywriting and GIF for 1x ad (1 master, up to 5 transitions)",Marketer,Marketing,7, $ 140 , $ 980 , $ 170 ," $ 1,190.00 "," $ 1,415.00 ",
[Essential] Campaign asset: GIF Ads,"Copywriting and GIF for 1x ad (1 master, up to 5 transitions)",[Expense],Shutterstock (per image),1, $ 50 , $ 50 , $ 50 , $ 50.00 ,,
[Essential] Campaign asset: GIF Ads,"Copywriting and GIF for 1x ad (1 master, up to 5 transitions)",Project Manager,Project Management,0.5, $ 131 , $ 66 , $ 180 , $ 90.00 ,,
[Essential] Campaign asset: GIF Ads,"Copywriting and GIF for 1x ad (1 master, up to 5 transitions)",Designer,Creative,0.5, $ 122 , $ 61 , $ 170 , $ 85.00 ,,
[Essential] Campaign asset: Carousel Ads,"Copywriting and creatives for 1x ad (1 master, up to 4 cards)",Marketer,Marketing,6, $ 140 , $ 840 , $ 170 ," $ 1,020.00 "," $ 1,245.00 ",
[Essential] Campaign asset: Carousel Ads,"Copywriting and creatives for 1x ad (1 master, up to 4 cards)",[Expense],Shutterstock (per image),1, $ 50 , $ 50 , $ 50 , $ 50.00 ,,
[Essential] Campaign asset: Carousel Ads,"Copywriting and creatives for 1x ad (1 master, up to 4 cards)",Project Manager,Project Management,0.5, $ 131 , $ 66 , $ 180 , $ 90.00 ,,
[Essential] Campaign asset: Carousel Ads,"Copywriting and creatives for 1x ad (1 master, up to 4 cards)",Designer,Creative,0.5, $ 122 , $ 61 , $ 170 , $ 85.00 ,,
[Essential] Campaign asset: Message/Conversation Ads,Copywriting and creative for 2x ads (1 master and 1 adapt),Marketer,Marketing,4, $ 140 , $ 560 , $ 170 , $ 680.00 , $ 905.00 ,
[Essential] Campaign asset: Message/Conversation Ads,Copywriting and creative for 2x ads (1 master and 1 adapt),[Expense],Shutterstock (per image),1, $ 50 , $ 50 , $ 50 , $ 50.00 ,,
[Essential] Campaign asset: Message/Conversation Ads,Copywriting and creative for 2x ads (1 master and 1 adapt),Project Manager,Project Management,0.5, $ 131 , $ 66 , $ 180 , $ 90.00 ,,
[Essential] Campaign asset: Message/Conversation Ads,Copywriting and creative for 2x ads (1 master and 1 adapt),Copywriter,Content,0.5, $ 147 , $ 74 , $ 170 , $ 85.00 ,,
[Essential] Campaign asset: Search Ads,Keyword Research and copywriting for 2x ads (1 master and 1 adapt),Marketer,Marketing,5, $ 140 , $ 700 , $ 170 , $ 850.00 ," $ 1,025.00 ",
[Essential] Campaign asset: Search Ads,Keyword Research and copywriting for 2x ads (1 master and 1 adapt),[Expense],Shutterstock (per image),0, $ 50 , $ -   , $ 50 , $ -   ,,
[Essential] Campaign asset: Search Ads,Keyword Research and copywriting for 2x ads (1 master and 1 adapt),Project Manager,Project Management,0.5, $ 131 , $ 66 , $ 180 , $ 90.00 ,,
[Essential] Campaign asset: Search Ads,Keyword Research and copywriting for 2x ads (1 master and 1 adapt),Copywriter,Content,0.5, $ 147 , $ 74 , $ 170 , $ 85.00 ,,
[Essential] Campaign asset: HTML 5 Ads,Copywriting and HTML 5 for 1x ad (1 master with 5 transitions),Marketer,Marketing,7, $ 140 , $ 980 , $ 170 ," $ 1,190.00 "," $ 1,415.00 ",
[Essential] Campaign asset: HTML 5 Ads,Copywriting and HTML 5 for 1x ad (1 master with 5 transitions),[Expense],Shutterstock (per image),1, $ 50 , $ 50 , $ 50 , $ 50.00 ,,
[Essential] Campaign asset: HTML 5 Ads,Copywriting and HTML 5 for 1x ad (1 master with 5 transitions),Project Manager,Project Management,0.5, $ 131 , $ 66 , $ 180 , $ 90.00 ,,
[Essential] Campaign asset: HTML 5 Ads,Copywriting and HTML 5 for 1x ad (1 master with 5 transitions),Designer,Creative,0.5, $ 122 , $ 61 , $ 170 , $ 85.00 ,,
[Essential] Campaign asset: Install/App Ads,Copywriting and Install/App for 2x ads (1 master and 1 adapt),Marketer,Marketing,3, $ 140 , $ 420 , $ 170 , $ 510.00 , $ 735.00 ,
